MC,NC,KC,GFLOPS
160,160,32,1376.13
160,160,48,1253.1
160,160,64,1264.02
160,160,80,1523.85
160,160,96,1187.69
160,160,112,1260.44
160,160,128,1570.77
160,160,144,1149.97
160,160,160,1370.22
160,160,176,1144.04
160,160,192,1612.4
160,160,208,1246.26
160,160,224,1179.98
160,160,240,1601.67
160,160,256,1467.32
160,160,272,1114.11
160,160,288,1631.48
160,160,304,1589.26
160,160,320,1112.58
160,160,336,1620.76
160,160,352,1610.89
160,160,368,1287.38
160,160,384,1645.59
160,160,400,1605.63
160,160,416,1116.98
160,160,432,1606.15
160,160,448,1608.49
160,160,464,1112.2
160,160,480,1633.81
160,160,496,1613.5
160,160,512,1140.78
160,160,528,1646.77
160,160,544,1675.46
160,160,560,1522.84
160,160,576,1639.57
160,160,592,1623.6
160,160,608,1086.05
160,160,624,1633.52
160,160,640,1628.37
160,160,656,1294.57
160,160,672,1663.69
160,160,688,1624.8
160,160,704,936.757
160,160,720,1646.79
160,160,736,1570.72
160,160,752,1373.78
160,160,768,1633.05
160,160,784,1636.42
160,160,800,1127.73
160,160,816,1625.04
160,160,832,1643.05
160,160,848,1107.64
160,160,864,1621.36
160,160,880,1600.05
160,160,896,1234.28
160,160,912,1641.17
160,160,928,1587.55
160,160,944,1160.18
160,160,960,1652.51
160,160,976,1233.71
160,160,992,1085.46
160,160,1008,1640.69
192,192,16,979.185
192,192,32,1076.6
192,192,48,1237.79
192,192,64,1188.62
192,192,80,1559.32
192,192,96,1241.98
192,192,112,1548.35
192,192,128,1524.16
192,192,144,1614.04
192,192,160,1259.95
192,192,176,1437.97
192,192,192,1345.49
192,192,208,1130.67
192,192,224,1441.25
192,192,240,1332.04
192,192,256,1320.53
192,192,272,1594.22
192,192,288,1169.09
192,192,304,1586.7
192,192,320,1588.71
192,192,336,1379.25
192,192,352,1586.57
192,192,368,1308.53
192,192,384,1289.16
192,192,400,1599.0
192,192,416,1274.2
192,192,432,1162.54
192,192,448,1607.69
192,192,464,1612.73
192,192,480,1332.86
192,192,496,1610.07
192,192,512,1413.32
192,192,528,1306.58
192,192,544,1602.35
192,192,560,1632.3
192,192,576,955.121
192,192,592,1597.91
192,192,608,1409.12
192,192,624,1126.11
192,192,640,1592.57
192,192,656,1597.44
192,192,672,1114.94
192,192,688,1582.93
192,192,704,1618.87
192,192,720,1128.42
192,192,736,1595.4
192,192,752,1399.94
192,192,768,957.446
192,192,784,1610.97
192,192,800,1158.22
192,192,816,1087.09
192,192,832,1575.42
192,192,848,1137.89
192,192,864,1298.79
192,192,880,1359.58
192,192,896,1399.84
192,192,912,1635.58
192,192,928,1266.81
192,192,944,1600.3
192,192,960,1590.09
192,192,976,1089.43
192,192,992,1598.06
192,192,1008,1626.91
224,224,16,1019.38
224,224,32,1337.89
224,224,48,1350.42
224,224,64,1138.23
224,224,80,1491.0
224,224,96,1503.67
224,224,112,1089.07
224,224,128,1513.54
224,224,144,1535.54
224,224,160,1162.11
224,224,176,1613.21
224,224,192,1550.8
224,224,208,1225.76
224,224,224,1620.8
224,224,240,1618.34
224,224,256,1091.03
224,224,272,1640.82
224,224,288,1252.72
224,224,304,1364.34
224,224,320,1625.2
224,224,336,1379.64
224,224,352,1132.33
224,224,368,1616.29
224,224,384,1595.36
224,224,400,1141.94
224,224,416,1620.56
224,224,432,1534.8
224,224,448,1173.31
224,224,464,1615.39
224,224,480,1540.9
224,224,496,1336.26
224,224,512,1603.51
224,224,528,1567.22
224,224,544,1105.01
224,224,560,1594.45
224,224,576,1546.46
224,224,592,1199.1
224,224,608,1569.29
224,224,624,1383.97
224,224,640,1257.52
224,224,656,1619.78
224,224,672,1629.3
224,224,688,1092.87
224,224,704,1631.72
224,224,720,1619.19
224,224,736,1281.25
224,224,752,1622.77
224,224,768,1206.62
224,224,784,1255.82
224,224,800,1644.05
224,224,816,1420.05
224,224,832,1374.4
224,224,848,1563.04
224,224,864,1594.91
224,224,880,1252.34
224,224,896,1590.1
224,224,912,1544.05
224,224,928,1180.12
224,224,944,1601.73
224,224,960,1595.37
224,224,976,1353.62
224,224,992,1597.2
224,224,1008,1559.88
256,256,16,929.724
256,256,32,1290.83
256,256,48,1421.3
256,256,64,1107.34
256,256,80,1505.56
256,256,96,1507.74
256,256,112,1106.76
